division,day,active_cases,population,new_cases,recovered
1,0,826,8266,826,0
2,0,1697,16975,1697,0
3,0,389,3897,389,0
4,0,95,959,95,0
5,0,557,5571,557,0
6,0,14987,149881,14987,0
7,0,415,4159,415,0
8,0,2093,20942,2093,0
9,0,208,2089,208,0
10,0,974,9748,974,0
11,0,13660,136608,13660,0
12,0,671,6714,671,0
13,0,710,7105,710,0
14,0,292,2931,292,0
15,0,385,3861,385,0
16,0,739,7403,739,0
17,0,615,6161,615,0
18,0,144,1452,144,0
19,0,1203,12041,1203,0
1,1,1023,8266,197,0
2,1,2051,16975,354,0
3,1,462,3897,73,0
4,1,114,959,19,0
5,1,683,5571,126,0
6,1,17985,149881,2998,0
7,1,504,4159,89,0
8,1,2541,20942,448,0
9,1,245,2089,37,0
10,1,1168,9748,194,0
11,1,16455,136608,2795,0
12,1,792,6714,121,0
13,1,854,7105,144,0
14,1,347,2931,55,0
15,1,457,3861,72,0
16,1,895,7403,156,0
17,1,720,6161,105,0
18,1,174,1452,30,0
19,1,1451,12041,248,0
1,2,1164,8266,141,0
2,2,2401,16975,350,0
3,2,539,3897,77,0
4,2,134,959,20,0
5,2,804,5571,121,0
6,2,21148,149881,3163,0
7,2,586,4159,82,0
8,2,2954,20942,413,0
9,2,284,2089,39,0
10,2,1391,9748,223,0
11,2,19221,136608,2766,0
12,2,926,6714,134,0
13,2,999,7105,145,0
14,2,402,2931,55,0
15,2,544,3861,87,0
16,2,1044,7403,149,0
17,2,824,6161,104,0
18,2,219,1452,45,0
19,2,1703,12041,252,0
1,3,1341,8266,177,0
2,3,2739,16975,338,0
3,3,615,3897,76,0
4,3,164,959,30,0
5,3,924,5571,120,0
6,3,24294,149881,3146,0
7,3,673,4159,87,0
8,3,3391,20942,437,0
9,3,322,2089,38,0
10,3,1582,9748,191,0
11,3,22092,136608,2871,0
12,3,1065,6714,139,0
13,3,1128,7105,129,0
14,3,475,2931,73,0
15,3,635,3861,91,0
16,3,1216,7403,172,0
17,3,965,6161,141,0
18,3,247,1452,28,0
19,3,1967,12041,264,0
1,4,1532,8266,191,0
2,4,3127,16975,388,0
3,4,689,3897,74,0
4,4,182,959,18,0
5,4,1059,5571,135,0
6,4,27582,149881,3288,0
7,4,760,4159,87,0
8,4,3825,20942,434,0
9,4,366,2089,44,0
10,4,1787,9748,205,0
11,4,24975,136608,2883,0
12,4,1221,6714,156,0
13,4,1308,7105,180,0
14,4,544,2931,69,0
15,4,713,3861,78,0
16,4,1363,7403,147,0
17,4,1058,6161,93,0
18,4,276,1452,29,0
19,4,2247,12041,280,0
1,5,1738,8266,206,0
2,5,3485,16975,358,0
3,5,771,3897,82,0
4,5,200,959,18,0
5,5,1178,5571,119,0
6,5,31001,149881,3419,0
7,5,870,4159,110,0
8,5,4277,20942,452,0
9,5,408,2089,42,0
10,5,2006,9748,219,0
11,5,28152,136608,3177,0
12,5,1345,6714,124,0
13,5,1486,7105,178,0
14,5,598,2931,54,0
15,5,799,3861,86,0
16,5,1519,7403,156,0
17,5,1190,6161,132,0
18,5,313,1452,37,0
19,5,2514,12041,267,0
1,6,1921,8266,183,0
2,6,3883,16975,398,0
3,6,830,3897,59,0
4,6,225,959,25,0
5,6,1295,5571,117,0
6,6,34456,149881,3455,0
7,6,979,4159,109,0
8,6,4683,20942,406,0
9,6,461,2089,53,0
10,6,2255,9748,249,0
11,6,31316,136608,3164,0
12,6,1497,6714,152,0
13,6,1676,7105,190,0
14,6,650,2931,52,0
15,6,905,3861,106,0
16,6,1679,7403,160,0
17,6,1302,6161,112,0
18,6,351,1452,38,0
19,6,2801,12041,287,0
1,7,2121,8266,200,0
2,7,4306,16975,423,0
3,7,892,3897,62,0
4,7,248,959,23,0
5,7,1412,5571,117,0
6,7,37977,149881,3521,0
7,7,1085,4159,106,0
8,7,5148,20942,465,0
9,7,500,2089,39,0
10,7,2501,9748,246,0
11,7,34601,136608,3285,0
12,7,1661,6714,164,0
13,7,1843,7105,167,0
14,7,709,2931,59,0
15,7,981,3861,76,0
16,7,1863,7403,184,0
17,7,1431,6161,129,0
18,7,389,1452,38,0
19,7,3070,12041,269,0
1,8,2340,8266,219,0
2,8,4747,16975,441,0
3,8,971,3897,79,0
4,8,280,959,32,0
5,8,1555,5571,143,0
6,8,41569,149881,3592,0
7,8,1210,4159,125,0
8,8,5675,20942,527,0
9,8,554,2089,54,0
10,8,2774,9748,273,0
11,8,37950,136608,3349,0
12,8,1839,6714,178,0
13,8,2014,7105,171,0
14,8,783,2931,74,0
15,8,1073,3861,92,0
16,8,2019,7403,156,0
17,8,1557,6161,126,0
18,8,422,1452,33,0
19,8,3352,12041,282,0
1,9,2561,8266,221,826
2,9,5185,16975,438,1697
3,9,1065,3897,94,389
4,9,307,959,27,95
5,9,1697,5571,142,557
6,9,45200,149881,3631,14987
7,9,1319,4159,109,415
8,9,6143,20942,468,2093
9,9,583,2089,29,208
10,9,3044,9748,270,974
11,9,41508,136608,3558,13660
12,9,2036,6714,197,671
13,9,2196,7105,182,710
14,9,849,2931,66,292
15,9,1168,3861,95,385
16,9,2195,7403,176,739
17,9,1688,6161,131,615
18,9,453,1452,31,144
19,9,3674,12041,322,1203
1,10,1897,8266,162,1023
2,10,3836,16975,348,2051
3,10,740,3897,64,462
4,10,238,959,26,114
5,10,1264,5571,124,683
6,10,33248,149881,3035,17985
7,10,993,4159,89,504
8,10,4434,20942,384,2541
9,10,422,2089,47,245
10,10,2302,9748,232,1168
11,10,30875,136608,3027,16455
12,10,1505,6714,140,792
13,10,1618,7105,132,854
14,10,594,2931,37,347
15,10,872,3861,89,457
16,10,1602,7403,146,895
17,10,1187,6161,114,720
18,10,327,1452,18,174
19,10,2723,12041,252,1451
1,11,1883,8266,183,1164
2,11,3857,16975,375,2401
3,11,729,3897,62,539
4,11,237,959,18,134
5,11,1275,5571,137,804
6,11,33302,149881,3052,21148
7,11,1023,4159,119,586
8,11,4373,20942,387,2954
9,11,425,2089,40,284
10,11,2318,9748,210,1391
11,11,31005,136608,2925,19221
12,11,1529,6714,145,926
13,11,1607,7105,133,999
14,11,586,2931,47,402
15,11,891,3861,91,544
16,11,1581,7403,135,1044
17,11,1204,6161,122,824
18,11,316,1452,19,219
19,11,2734,12041,259,1703
1,12,1918,8266,176,1341
2,12,3873,16975,366,2739
3,12,706,3897,54,615
4,12,237,959,20,164
5,12,1277,5571,123,924
6,12,33023,149881,2884,24294
7,12,1032,4159,91,673
8,12,4354,20942,394,3391
9,12,438,2089,52,322
10,12,2304,9748,209,1582
11,12,31087,136608,2848,22092
12,12,1511,6714,116,1065
13,12,1606,7105,144,1128
14,12,578,2931,47,475
15,12,870,3861,66,635
16,12,1596,7403,164,1216
17,12,1216,6161,116,965
18,12,301,1452,30,247
19,12,2748,12041,266,1967
1,13,1912,8266,171,1532
2,13,3870,16975,335,3127
3,13,696,3897,66,689
4,13,224,959,17,182
5,13,1284,5571,127,1059
6,13,32708,149881,2831,27582
7,13,1027,4159,82,760
8,13,4297,20942,380,3825
9,13,444,2089,44,366
10,13,2319,9748,206,1787
11,13,31093,136608,2877,24975
12,13,1501,6714,129,1221
13,13,1636,7105,159,1308
14,13,553,2931,48,544
15,13,874,3861,95,713
16,13,1578,7403,154,1363
17,13,1154,6161,79,1058
18,13,302,1452,29,276
19,13,2735,12041,251,2247
1,14,1891,8266,170,1738
2,14,3824,16975,342,3485
3,14,680,3897,58,771
4,14,224,959,18,200
5,14,1278,5571,129,1178
6,14,32169,149881,2749,31001
7,14,1027,4159,87,870
8,14,4205,20942,342,4277
9,14,441,2089,41,408
10,14,2319,9748,205,2006
11,14,31021,136608,2811,28152
12,14,1466,6714,121,1345
13,14,1596,7105,140,1486
14,14,528,2931,44,598
15,14,887,3861,91,799
16,14,1551,7403,120,1519
17,14,1143,6161,82,1190
18,14,303,1452,30,313
19,14,2717,12041,262,2514
1,15,1860,8266,175,1921
2,15,3763,16975,297,3883
3,15,656,3897,58,830
4,15,225,959,19,225
5,15,1297,5571,138,1295
6,15,31549,149881,2799,34456
7,15,998,4159,81,979
8,15,4084,20942,331,4683
9,15,436,2089,37,461
10,15,2295,9748,195,2255
11,15,30565,136608,2721,31316
12,15,1477,6714,135,1497
13,15,1549,7105,131,1676
14,15,528,2931,54,650
15,15,875,3861,74,905
16,15,1555,7403,160,1679
17,15,1082,6161,71,1302
18,15,288,1452,22,351
19,15,2697,12041,247,2801
1,16,1864,8266,187,2121
2,16,3696,16975,331,4306
3,16,645,3897,48,892
4,16,214,959,14,248
5,16,1299,5571,119,1412
6,16,30840,149881,2746,37977
7,16,967,4159,78,1085
8,16,4042,20942,364,5148
9,16,418,2089,35,500
10,16,2257,9748,211,2501
11,16,30127,136608,2726,34601
12,16,1449,6714,124,1661
13,16,1483,7105,124,1843
14,16,546,2931,70,709
15,16,837,3861,68,981
16,16,1561,7403,166,1863
17,16,1042,6161,72,1431
18,16,267,1452,17,389
19,16,2668,12041,258,3070
1,17,1789,8266,125,2340
2,17,3587,16975,314,4747
3,17,631,3897,48,971
4,17,210,959,19,280
5,17,1300,5571,118,1555
6,17,30034,149881,2715,41569
7,17,927,4159,66,1210
8,17,3888,20942,311,5675
9,17,412,2089,33,554
10,17,2220,9748,209,2774
11,17,29508,136608,2666,37950
12,17,1400,6714,115,1839
13,17,1432,7105,116,2014
14,17,540,2931,53,783
15,17,822,3861,61,1073
16,17,1531,7403,154,2019
17,17,994,6161,81,1557
18,17,248,1452,19,422
19,17,2666,12041,267,3352
1,18,1692,8266,122,2561
2,18,3442,16975,296,5185
3,18,607,3897,55,1065
4,18,191,959,13,307
5,18,1274,5571,117,1697
6,18,28920,149881,2478,45200
7,18,861,4159,59,1319
8,18,3664,20942,303,6143
9,18,383,2089,25,583
10,18,2089,9748,142,3044
11,18,28759,136608,2600,41508
12,18,1321,6714,99,2036
13,18,1384,7105,123,2196
14,18,517,2931,51,849
15,18,777,3861,47,1168
16,18,1532,7403,157,2195
17,18,925,6161,57,1688
18,18,238,1452,23,453
19,18,2635,12041,251,3674
1,19,1614,8266,143,2723
2,19,3319,16975,315,5533
3,19,561,3897,48,1129
4,19,181,959,17,333
5,19,1237,5571,105,1821
6,19,27824,149881,2535,48235
7,19,831,4159,79,1408
8,19,3469,20942,273,6527
9,19,386,2089,32,630
10,19,1989,9748,170,3276
11,19,27725,136608,2524,44535
12,19,1238,6714,114,2176
13,19,1314,7105,112,2328
14,19,501,2931,50,886
15,19,747,3861,65,1257
16,19,1487,7403,131,2341
17,19,850,6161,56,1802
18,19,232,1452,25,471
19,19,2552,12041,239,3926
1,20,1572,8266,120,2906
2,20,3243,16975,272,5908
3,20,524,3897,27,1191
4,20,168,959,13,351
5,20,1246,5571,133,1958
6,20,27243,149881,2454,51287
7,20,805,4159,63,1527
8,20,3371,20942,286,6914
9,20,372,2089,33,670
10,20,1907,9748,150,3486
11,20,27342,136608,2644,47460
12,20,1230,6714,132,2321
13,20,1277,7105,95,2461
14,20,517,2931,53,933
15,20,712,3861,54,1348
16,20,1450,7403,109,2476
17,20,797,6161,61,1924
18,20,243,1452,29,490
19,20,2513,12041,213,4185
1,21,1507,8266,118,3082
2,21,3116,16975,248,6274
3,21,502,3897,40,1245
4,21,160,959,10,371
5,21,1226,5571,117,2081
6,21,26645,149881,2454,54171
7,21,741,4159,55,1618
8,21,3229,20942,245,7308
9,21,362,2089,30,722
10,21,1867,9748,170,3695
11,21,27012,136608,2595,50308
12,21,1203,6714,118,2437
13,21,1251,7105,107,2605
14,21,511,2931,41,980
15,21,686,3861,65,1414
16,21,1438,7403,123,2640
17,21,737,6161,62,2040
18,21,239,1452,15,520
19,21,2453,12041,199,4451
1,22,1455,8266,124,3253
2,22,3000,16975,250,6609
3,22,489,3897,41,1311
4,22,153,959,13,388
5,22,1205,5571,102,2208
6,22,26112,149881,2351,57002
7,22,719,4159,69,1700
8,22,3117,20942,282,7688
9,22,334,2089,24,766
10,22,1803,9748,145,3901
11,22,26563,136608,2399,53185
12,22,1201,6714,114,2566
13,22,1201,7105,94,2764
14,22,504,2931,40,1028
15,22,667,3861,47,1509
16,22,1391,7403,117,2794
17,22,671,6161,50,2119
18,22,232,1452,23,549
19,22,2424,12041,237,4702
1,23,1429,8266,145,3423
2,23,2930,16975,265,6951
3,23,446,3897,23,1369
4,23,155,959,19,406
5,23,1165,5571,87,2337
6,23,25546,149881,2265,59751
7,23,691,4159,54,1787
8,23,2986,20942,249,8030
9,23,312,2089,22,807
10,23,1751,9748,154,4106
11,23,25933,136608,2247,55996
12,23,1178,6714,106,2687
13,23,1139,7105,97,2904
14,23,494,2931,38,1072
15,23,627,3861,55,1600
16,23,1344,7403,107,2914
17,23,628,6161,36,2201
18,23,221,1452,18,579
19,23,2370,12041,197,4964
1,24,1361,8266,102,3598
2,24,2808,16975,220,7248
3,24,422,3897,34,1427
4,24,146,959,9,425
5,24,1141,5571,105,2475
6,24,25044,149881,2247,62550
7,24,659,4159,55,1868
8,24,2879,20942,235,8361
9,24,297,2089,26,844
10,24,1724,9748,178,4301
11,24,25316,136608,2194,58717
12,24,1153,6714,96,2822
13,24,1102,7105,103,3035
14,24,493,2931,43,1126
15,24,588,3861,52,1674
16,24,1318,7403,94,3074
17,24,602,6161,56,2272
18,24,216,1452,25,601
19,24,2351,12041,243,5211
1,25,1300,8266,114,3785
2,25,2715,16975,204,7579
3,25,393,3897,29,1475
4,25,138,959,11,439
5,25,1092,5571,89,2594
6,25,24373,149881,2128,65296
7,25,613,4159,35,1946
8,25,2778,20942,230,8725
9,25,291,2089,31,879
10,25,1686,9748,157,4512
11,25,24712,136608,2117,61443
12,25,1113,6714,95,2946
13,25,1063,7105,92,3159
14,25,478,2931,39,1196
15,25,555,3861,41,1742
16,25,1242,7403,84,3240
17,25,563,6161,32,2344
18,25,209,1452,15,618
19,25,2318,12041,214,5469
1,26,1213,8266,100,3910
2,26,2592,16975,208,7893
3,26,381,3897,36,1523
4,26,142,959,18,458
5,26,1067,5571,94,2712
6,26,23674,149881,2047,68011
7,26,567,4159,32,2012
8,26,2642,20942,228,9036
9,26,274,2089,18,912
10,26,1602,9748,127,4721
11,26,23858,136608,1872,64109
12,26,1072,6714,83,3061
13,26,1027,7105,88,3275
14,26,438,2931,30,1249
15,26,533,3861,46,1803
16,26,1172,7403,96,3394
17,26,542,6161,51,2425
18,26,208,1452,16,637
19,26,2249,12041,189,5736
1,27,1210,8266,122,4032
2,27,2456,16975,178,8189
3,27,351,3897,18,1578
4,27,129,959,6,471
5,27,1031,5571,82,2829
6,27,22812,149881,1853,70489
7,27,555,4159,54,2071
8,27,2574,20942,243,9339
9,27,258,2089,17,937
10,27,1500,9748,107,4863
11,27,22941,136608,1749,66709
12,27,1039,6714,82,3160
13,27,993,7105,82,3398
14,27,411,2931,26,1300
15,27,512,3861,40,1850
16,27,1133,7403,115,3551
17,27,500,6161,39,2482
18,27,202,1452,13,660
19,27,2173,12041,191,5987
1,28,1165,8266,77,4175
2,28,2339,16975,179,8504
3,28,326,3897,30,1626
4,28,125,959,9,488
5,28,984,5571,70,2934
6,28,22070,149881,1736,73024
7,28,536,4159,40,2150
8,28,2475,20942,204,9612
9,28,254,2089,21,969
10,28,1460,9748,102,5033
11,28,21860,136608,1519,69233
12,28,1023,6714,83,3274
13,28,959,7105,89,3510
14,28,385,2931,25,1350
15,28,526,3861,61,1915
16,28,1089,7403,113,3682
17,28,482,6161,39,2538
18,28,196,1452,17,685
19,28,2073,12041,151,6226
1,29,1102,8266,80,4295
2,29,2187,16975,163,8776
3,29,308,3897,30,1653
4,29,126,959,18,501
5,29,957,5571,78,3067
6,29,21168,149881,1633,75478
7,29,502,4159,45,2213
8,29,2376,20942,174,9898
9,29,252,2089,30,1002
10,29,1409,9748,119,5183
11,29,20733,136608,1397,71877
12,29,998,6714,89,3406
13,29,908,7105,61,3605
14,29,368,2931,33,1403
15,29,512,3861,51,1969
16,29,1044,7403,86,3791
17,29,461,6161,35,2599
18,29,183,1452,12,714
19,29,2010,12041,176,6439
1,30,1071,8266,89,4413
2,30,2090,16975,175,9024
3,30,317,3897,36,1693
4,30,125,959,12,511
5,30,876,5571,52,3184
6,30,20278,149881,1564,77932
7,30,482,4159,43,2268
8,30,2273,20942,183,10143
9,30,242,2089,23,1032
10,30,1352,9748,93,5353
11,30,19318,136608,1229,74472
12,30,938,6714,72,3524
13,30,899,7105,86,3712
14,30,340,2931,25,1444
15,30,502,3861,44,2034
16,30,1020,7403,85,3914
17,30,441,6161,41,2661
18,30,164,1452,10,729
19,30,1952,12041,155,6638
1,31,1032,8266,79,4537
2,31,1985,16975,143,9274
3,31,305,3897,28,1734
4,31,128,959,13,524
5,31,809,5571,50,3286
6,31,19148,149881,1324,80283
7,31,476,4159,49,2337
8,31,2198,20942,170,10425
9,31,221,2089,9,1056
10,31,1254,9748,72,5498
11,31,17728,136608,1005,76871
12,31,872,6714,52,3638
13,31,871,7105,79,3806
14,31,326,2931,27,1484
15,31,475,3861,38,2081
16,31,964,7403,67,4031
17,31,422,6161,43,2711
18,31,176,1452,27,752
19,31,1940,12041,187,6875
1,32,980,8266,72,4682
2,32,1859,16975,124,9539
3,32,294,3897,30,1757
4,32,124,959,9,543
5,32,765,5571,58,3373
6,32,17967,149881,1170,82548
7,32,458,4159,51,2391
